Country or territory of asylum or residence,"Country or territory of origin","Year","Refugees<sup>*</sup>","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations<sup>**</sup>","Total refugees and people in refugee-like situations assisted by UNHCR"
"Luxembourg","Kosovo (UNSCR 1244/99)","2015","190","","0","0"
"Luxembourg","Albania","2015","130","","0","0"
"Luxembourg","Other","2015","640","","0","0"
"Malta","Libya","2015","895","","0","0"
"Malta","Syria","2015","395","","0","0"
"Malta","Ukraine","2015","70","","0","0"
"Malta","Eritrea","2015","45","","0","0"
"Malta","Somalia","2015","35","","0","0"
"Malta","Other","2015","255","","0","0"
"Netherlands","Syria","2015","18640","","0","0"
"Netherlands","Eritrea","2015","7390","","0","0"
"Netherlands","Iraq","2015","3010","","0","0"
"Netherlands","Afghanistan","2015","2550","","0","0"
"Netherlands","Stateless","2015","2460","","0","0"
"Netherlands","Other","2015","8985","","0","0"
"Norway","Syria","2015","10535","","0","0"
"Norway","Afghanistan","2015","6910","","0","0"
"Norway","Iraq","2015","2935","","0","0"
"Norway","Eritrea","2015","2785","","0","0"
"Norway","Iran","2015","1310","","0","0"
"Norway","Other","2015","5995","","0","0"
"Poland","Russia","2015","6985","","0","0"
"Poland","Ukraine","2015","1575","","0","0"
"Poland","Tajikistan","2015","525","","0","0"
"Poland","Syria","2015","285","","0","0"
"Poland","Georgia","2015","230","","0","0"
"Poland","Other","2015","655","","0","0"
"Portugal","Ukraine","2015","370","","0","0"
"Portugal","Mali","2015","80","","0","0"
"Portugal","Pakistan","2015","65","","0","0"
"Portugal","China","2015","55","","0","0"
"Portugal","Guinea","2015","35","","0","0"
"Portugal","Other","2015","225","","0","0"
"Romania","Syria","2015","550","","0","0"
"Romania","Iraq","2015","190","","0","0"
"Romania","Afghanistan","2015","90","","0","0"
"Romania","Turkey","2015","45","","0","0"
"Romania","Ukraine","2015","35","","0","0"
"Romania","Other","2015","315","","0","0"
"Slovakia","Iraq","2015","170","","0","0"
"Slovakia","Afghanistan","2015","25","","0","0"
"Slovakia","Ukraine","2015","15","","0","0"
"Slovakia","Unknown","2015","15","","0","0"
"Slovakia","Cuba","2015","5","","0","0"
"Slovakia","Other","2015","40","","0","0"
"Slovenia","Iraq","2015","45","","0","0"
"Slovenia","Afghanistan","2015","45","","0","0"
"Slovenia","Iran","2015","30","","0","0"
"Slovenia","Pakistan","2015","25","","0","0"
"Slovenia","Kosovo (UNSCR 1244/99)","2015","25","","0","0"
"Slovenia","Other","2015","90","","0","0"
"Spain","Syria","2015","5720","","0","0"
"Spain","Ukraine","2015","3340","","0","0"
"Spain","Palestine","2015","795","","0","0"
"Spain","Algeria","2015","650","","0","0"
"Spain","Venezuela","2015","585","","0","0"
"Spain","Other","2015","3510","","0","0"
"Sweden","Syria","2015","50890","","0","0"
"Sweden","Afghanistan","2015","41190","","0","0"
"Sweden","Iraq","2015","20190","","0","0"
"Sweden","Stateless","2015","7445","","0","0"
"Sweden","Eritrea","2015","6515","","0","0"
"Sweden","Other","2015","29880","","0","0"
"Switzerland","Eritrea","2015","9860","","0","0"
"Switzerland","Afghanistan","2015","7800","","0","0"
"Switzerland","Syria","2015","4650","","0","0"
"Switzerland","Iraq","2015","2285","","0","0"
"Switzerland","Sri Lanka","2015","1775","","0","0"
"Switzerland","Other","2015","11690","","0","0"
"United Kingdom","Eritrea","2015","3735","","0","0"
"United Kingdom","Iran","2015","3680","","0","0"
"United Kingdom","Pakistan","2015","3245","","0","0"
"United Kingdom","Sudan","2015","3005","","0","0"
"United Kingdom","Syria","2015","2840","","0","0"
"United Kingdom","Other","2015","21865","","0","0"
"Austria","Syria","2014","7730","0","7730","0"
"Austria","Afghanistan","2014","5075","0","5075","0"
"Austria","Russia","2014","1995","0","1995","0"
"Austria","Kosovo (UNSCR 1244/99)","2014","1905","0","1905","0"
"Austria","Stateless","2014","1315","0","1315","0"
"Austria","Other","2014","10015","0","10015","0"
"Belgium","Syria","2014","2705","0","0","0"
"Belgium","Afghanistan","2014","2330","0","0","0"
"Belgium","Russia","2014","1850","0","0","0"
"Belgium","Guinea","2014","1440","0","0","0"
"Belgium","Iraq","2014","1395","0","0","0"
"Belgium","Other","2014","12990","0","0","0"
"Bulgaria","Syria","2014","6245","0","0","0"
"Bulgaria","Afghanistan","2014","2965","0","0","0"
"Bulgaria","Iraq","2014","610","0","0","0"
"Bulgaria","Stateless","2014","270","0","0","0"
"Bulgaria","Pakistan","2014","185","0","0","0"
"Bulgaria","Other","2014","805","0","0","0"
"Croatia","Algeria","2014","75","0","0","0"
"Croatia","Syria","2014","65","0","0","0"
"Croatia","Pakistan","2014","25","0","0","0"
"Croatia","Morocco","2014","20","0","0","0"
"Croatia","Tunisia","2014","20","0","0","0"
"Croatia","Other","2014","245","0","0","0"
"Cyprus","Syria","2014","995","0","0","0"
"Cyprus","Ukraine","2014","95","0","0","0"
"Cyprus","Egypt","2014","85","0","0","0"
"Cyprus","India","2014","80","0","0","0"
"Cyprus","Vietnam","2014","80","0","0","0"
"Cyprus","Other","2014","410","0","0","0"
"Czech Rep.","Ukraine","2014","515","","0","0"
"Czech Rep.","Syria","2014","110","","0","0"
"Czech Rep.","Vietnam","2014","65","","0","0"
"Czech Rep.","Cuba","2014","40","","0","0"
"Czech Rep.","Stateless","2014","40","","0","0"
"Czech Rep.","Other","2014","375","","0","0"
"Denmark","Syria","2014","7210","0","0","0"
"Denmark","Eritrea","2014","2275","0","0","0"
"Denmark","Stateless","2014","1140","0","0","0"
"Denmark","Somalia","2014","700","0","0","0"
"Denmark","Russia","2014","520","0","0","0"
"Denmark","Other","2014","2835","0","0","0"
"Estonia","Ukraine","2014","60","0","0","0"
"Estonia","Sudan","2014","20","0","0","0"
"Estonia","Russia","2014","20","0","0","0"
"Estonia","Egypt","2014","10","0","0","0"
"Estonia","Algeria","2014","5","0","0","0"
"Estonia","Other","2014","40","0","0","0"
"Finland","Iraq","2014","820","0","0","0"
"Finland","Somalia","2014","410","0","0","0"
"Finland","Ukraine","2014","300","0","0","0"
"Finland","Afghanistan","2014","205","0","0","0"
"Finland","Russia","2014","200","0","0","0"
"Finland","Other","2014","1685","0","0","0"
"France","Dem. Rep. of the Congo","2014","5210","0","0","0"
"France","Russia","2014","4050","0","0","0"
"France","Bangladesh","2014","3775","0","0","0"
"France","Albania","2014","2970","0","0","0"
"France","Syria","2014","2815","0","0","0"
"France","Other","2014","43915","0","0","0"
"Germany","Syria","2014","43915","0","0","0"
"Germany","Serbia","2014","27145","0","0","0"
"Germany","Eritrea","2014","13255","0","0","0"
"Germany","Afghanistan","2014","9675","0","0","0"
"Germany","Iraq","2014","9495","0","0","0"
"Germany","Other","2014","101975","0","0","0"
"Greece","Afghanistan","2014","1710","0","0","0"
"Greece","Pakistan","2014","1620","0","0","0"
"Greece","Syria","2014","785","0","0","0"
"Greece","Bangladesh","2014","635","0","0","0"
"Greece","Albania","2014","570","0","0","0"
"Greece","Other","2014","4110","0","0","0"
"Hungary","Kosovo (UNSCR 1244/99)","2014","21455","0","0","0"
"Hungary","Afghanistan","2014","8795","0","0","0"
"Hungary","Syria","2014","6855","0","0","0"
"Hungary","Palestine","2014","875","0","0","0"
"Hungary","Unknown","2014","705","0","0","0"
"Hungary","Other","2014","4090","0","0","0"
"Iceland","Albania","2014","20","0","0","0"
"Iceland","Ukraine","2014","15","0","0","0"
"Iceland","Russia","2014","15","0","0","0"
"Iceland","Iraq","2014","10","0","0","0"
"Iceland","Nigeria","2014","10","0","0","0"
"Iceland","Other","2014","100","0","0","0"
"Ireland","Pakistan","2014","290","0","0","0"
"Ireland","Nigeria","2014","140","0","0","0"
"Ireland","Bangladesh","2014","100","0","0","0"
"Ireland","Albania","2014","100","0","0","0"
"Ireland","Zimbabwe","2014","85","0","0","0"
"Ireland","Other","2014","735","0","0","0"
"Italy","Nigeria","2014","10135","0","0","0"
"Italy","Mali","2014","9790","0","0","0"
"Italy","Gambia","2014","8575","0","0","0"
"Italy","Pakistan","2014","7150","0","0","0"
"Italy","Senegal","2014","4675","0","0","0"
"Italy","Other","2014","24300","0","0","0"
"Latvia","Georgia","2014","175","0","0","0"
"Latvia","Ukraine","2014","75","0","0","0"
"Latvia","Syria","2014","35","0","0","0"
"Latvia","Iraq","2014","20","0","0","0"
"Latvia","Afghanistan","2014","15","0","0","0"
"Latvia","Other","2014","55","0","0","0"
"Liechtenstein","Serbia","2014","10","0","0","0"
"Liechtenstein","Somalia","2014","10","0","0","0"
"Liechtenstein","Ukraine","2014","5","0","0","0"
"Liechtenstein","Kosovo (UNSCR 1244/99)","2014","5","0","0","0"
"Liechtenstein","Albania","2014","5","0","0","0"
"Liechtenstein","Other","2014","30","0","0","0"
"Lithuania","Georgia","2014","115","0","0","0"
"Lithuania","Afghanistan","2014","85","0","0","0"
"Lithuania","Ukraine","2014","70","0","0","0"
"Lithuania","Russia","2014","55","0","0","0"
"Lithuania","Vietnam","2014","30","0","0","0"
"Lithuania","Other","2014","85","0","0","0"
"Luxembourg","Bosnia and Herzegovina","2014","170","0","0","0"
"Luxembourg","Montenegro","2014","145","0","0","0"
"Luxembourg","Kosovo (UNSCR 1244/99)","2014","140","0","0","0"
"Luxembourg","Albania","2014","120","0","0","0"
"Luxembourg","Syria","2014","95","0","0","0"
"Luxembourg","Other","2014","480","0","0","0"
"Malta","Libya","2014","420","0","0","0"
"Malta","Syria","2014","305","0","0","0"
"Malta","Somalia","2014","130","0","0","0"
"Malta","Sudan","2014","85","0","0","0"
"Malta","Eritrea","2014","60","0","0","0"
"Malta","Other","2014","350","0","0","0"
"Netherlands","Syria","2014","9485","0","0","0"
"Netherlands","Eritrea","2014","3985","0","0","0"
"Netherlands","Stateless","2014","2790","0","0","0"
"Netherlands","Iraq","2014","1350","0","0","0"
"Netherlands","Somalia","2014","1075","0","0","0"
"Netherlands","Other","2014","7525","0","0","0"
"Norway","Eritrea","2014","3295","0","0","0"
"Norway","Syria","2014","2085","0","0","0"
"Norway","Somalia","2014","1775","0","0","0"
"Norway","Sudan","2014","850","0","0","0"
"Norway","Stateless","2014","830","0","0","0"
"Norway","Other","2014","4370","0","0","0"
"Poland","Russia","2014","4000","0","0","0"
"Poland","Ukraine","2014","2275","0","0","0"
"Poland","Georgia","2014","720","0","0","0"
"Poland","Armenia","2014","135","0","0","0"
"Poland","Kyrgyzstan","2014","120","0","0","0"
"Poland","Other","2014","770","0","0","0"
"Portugal","Ukraine","2014","155","0","0","0"
"Portugal","Morocco","2014","25","0","0","0"
"Portugal","Sierra Leone","2014","25","0","0","0"
"Portugal","Pakistan","2014","25","0","0","0"
"Portugal","Syria","2014","20","0","0","0"
"Portugal","Other","2014","190","0","0","0"
"Romania","Syria","2014","615","0","0","0"
"Romania","Afghanistan","2014","280","0","0","0"
"Romania","Iraq","2014","210","0","0","0"
"Romania","Iran","2014","60","0","0","0"
"Romania","Pakistan","2014","45","0","0","0"
"Romania","Other","2014","335","0","0","0"
"Slovakia","Afghanistan","2014","95","0","0","0"
"Slovakia","Syria","2014","40","0","0","0"
"Slovakia","Vietnam","2014","25","0","0","0"
"Slovakia","Ukraine","2014","25","0","0","0"
"Slovakia","Somalia","2014","20","0","0","0"
"Slovakia","Other","2014","125","0","0","0"
"Slovenia","Syria","2014","90","0","0","0"
"Slovenia","Afghanistan","2014","75","0","0","0"
"Slovenia","Pakistan","2014","25","0","0","0"
"Slovenia","Iran","2014","20","0","0","0"
"Slovenia","Kosovo (UNSCR 1244/99)","2014","20","0","0","0"
"Slovenia","Other","2014","155","0","0","0"
"Spain","Syria","2014","1510","0","0","0"
"Spain","Ukraine","2014","895","0","0","0"
"Spain","Mali","2014","595","0","0","0"
"Spain","Algeria","2014","305","0","0","0"
"Spain","Palestine","2014","200","0","0","0"
"Spain","Other","2014","2110","0","0","0"
"Sweden","Syria","2014","30750","0","0","0"
"Sweden","Eritrea","2014","11530","0","0","0"
"Sweden","Stateless","2014","7820","0","0","0"
"Sweden","Somalia","2014","4870","0","0","0"
"Sweden","Afghanistan","2014","3105","0","0","0"
"Sweden","Other","2014","23105","0","0","0"
"Switzerland","Eritrea","2014","6920","0","0","0"
"Switzerland","Syria","2014","3820","0","0","0"
"Switzerland","Sri Lanka","2014","1275","0","0","0"
"Switzerland","Nigeria","2014","910","0","0","0"
"Switzerland","Somalia","2014","815","0","0","0"
"Switzerland","Other","2014","9815","0","0","0"
"United Kingdom","Pakistan","2014","3990","0","0","0"
"United Kingdom","Eritrea","2014","3280","0","0","0"
"United Kingdom","Iran","2014","2500","0","0","0"
"United Kingdom","Syria","2014","2410","0","0","0"
"United Kingdom","Albania","2014","1890","0","0","0"
"United Kingdom","Other","2014","17675","0","0","0"
"Austria","Afghanistan","2013","11906","0","11906","0"
"Austria","Albania","2013","125","0","125","0"
"Austria","Algeria","2013","51","0","51","0"
"Austria","Angola","2013","157","0","157","0"
"Austria","Armenia","2013","998","0","998","0"
"Austria","Azerbaijan","2013","425","0","425","0"
"Austria","Bangladesh","2013","126","0","126","0"
"Austria","Belarus","2013","111","0","111","0"
"Austria","Benin","2013","5","0","5","0"
"Austria","Bhutan","2013","2","0","2","0"
"Austria","Bolivia (Plurinational State of)","2013","10","0","10","0"
"Austria","Bosnia and Herzegovina","2013","210","0","210","0"
"Austria","Brazil","2013","1","0","1","0"
"Austria","Bulgaria","2013","5","0","5","0"
"Austria","Burkina Faso","2013","11","0","11","0"
"Austria","Burundi","2013","21","0","21","0"
"Austria","Cambodia","2013","1","0","1","0"
"Austria","Cameroon","2013","235","0","235","0"
"Austria","Canada","2013","1","0","1","0"
"Austria","Chad","2013","1","0","1","0"
"Austria","China","2013","388","0","388","0"
"Austria","Colombia","2013","19","0","19","0"
"Austria","Congo","2013","122","0","122","0"
"Austria","Côte d'Ivoire","2013","60","0","60","0"
"Austria","Croatia","2013","9","0","9","0"
"Austria","Cuba","2013","24","0","24","0"
"Austria","Czech Rep.","2013","1","0","1","0"
"Austria","Dem. Rep. of the Congo","2013","448","0","448","0"
"Austria","Egypt","2013","96","0","96","0"
"Austria","Equatorial Guinea","2013","1","0","1","0"
"Austria","Eritrea","2013","101","0","101","0"
"Austria","Estonia","2013","3","0","3","0"
"Austria","Ethiopia","2013","136","0","136","0"
"Austria","France","2013","0","0","0","0"
"Austria","Gambia","2013","101","0","101","0"
"Austria","Georgia","2013","788","0","788","0"
"Austria","Ghana","2013","39","0","39","0"
"Austria","Guatemala","2013","6","0","6","0"
"Austria","Guinea","2013","86","0","86","0"
"Austria","Guinea-Bissau","2013","4","0","4","0"
"Austria","India","2013","53","0","53","0"
"Austria","Iraq","2013","2966","0","2966","0"
"Austria","Islamic Rep. of Iran","2013","3188","0","3188","0"
"Austria","Israel","2013","2","0","2","0"
"Austria","Jordan","2013","13","0","13","0"
"Austria","Kazakhstan","2013","49","0","49","0"
"Austria","Kenya","2013","27","0","27","0"
"Austria","Kuwait","2013","2","0","2","0"
"Austria","Kyrgyzstan","2013","272","0","272","0"
"Austria","Lao People's Dem. Rep.","2013","1","0","1","0"
"Austria","Latvia","2013","2","0","2","0"
"Austria","Lebanon","2013","50","0","50","0"
"Austria","Liberia","2013","26","0","26","0"
"Austria","Libya","2013","6","0","6","0"
"Austria","Madagascar","2013","5","0","5","0"
"Austria","Mali","2013","11","0","11","0"
"Austria","Mauritania","2013","7","0","7","0"
"Austria","Mauritius","2013","2","0","2","0"
"Austria","Mexico","2013","1","0","1","0"
"Austria","Mongolia","2013","183","0","183","0"
"Austria","Montenegro","2013","13","0","13","0"
"Austria","Morocco","2013","15","0","15","0"
"Austria","Myanmar","2013","26","0","26","0"
"Austria","Nepal","2013","41","0","41","0"
"Austria","Niger","2013","1","0","1","0"
"Austria","Nigeria","2013","346","0","346","0"
"Austria","Pakistan","2013","131","0","131","0"
"Austria","Peru","2013","2","0","2","0"
"Austria","Philippines","2013","9","0","9","0"
"Austria","Rep. of Korea","2013","2","0","2","0"
"Austria","Rep. of Moldova","2013","147","0","147","0"
"Austria","Romania","2013","36","0","36","0"
"Austria","Russian Federation","2013","19577","0","19577","0"
"Austria","Rwanda","2013","28","0","28","0"
"Austria","Senegal","2013","7","0","7","0"
"Austria","Serbia (and Kosovo: S/RES/1244 (1999))","2013","3075","0","3075","0"
"Austria","Sierra Leone","2013","32","0","32","0"
"Austria","Slovakia","2013","2","0","2","0"
"Austria","Somalia","2013","2278","0","2278","0"
"Austria","South Africa","2013","5","0","5","0"
"Austria","South Sudan","2013","3","0","3","0"
"Austria","Sri Lanka","2013","32","0","32","0"
"Austria","Stateless","2013","658","0","658","0"
"Austria","Sudan","2013","265","0","265","0"
"Austria","Syrian Arab Rep.","2013","2748","0","2748","0"
"Austria","Tajikistan","2013","70","0","70","0"
"Austria","The former Yugoslav Rep. of Macedonia","2013","161","0","161","0"
"Austria","Togo","2013","26","0","26","0"
"Austria","Tunisia","2013","8","0","8","0"
"Austria","Turkey","2013","1276","0","1276","0"
"Austria","Turkmenistan","2013","8","0","8","0"
"Austria","Uganda","2013","18","0","18","0"
"Austria","Ukraine","2013","311","0","311","0"
"Austria","United Rep. of Tanzania","2013","2","0","2","0"
"Austria","United States","2013","1","0","1","0"
"Austria","Uzbekistan","2013","142","0","142","0"
"Austria","Various","2013","321","0","321","0"
"Austria","Viet Nam","2013","38","0","38","0"
"Austria","Yemen","2013","14","0","14","0"
"Austria","Zimbabwe","2013","23","0","23","0"
"Belgium","Afghanistan","2013","4328","0","4328","0"
"Belgium","Albania","2013","398","0","398","0"
"Belgium","Algeria","2013","28","0","28","0"
"Belgium","Angola","2013","67","0","67","0"
"Belgium","Argentina","2013","3","0","3","0"
"Belgium","Armenia","2013","129","0","129","0"
"Belgium","Austria","2013","1","0","1","0"
"Belgium","Azerbaijan","2013","36","0","36","0"
"Belgium","Bangladesh","2013","12","0","12","0"
"Belgium","Belarus","2013","43","0","43","0"
"Belgium","Benin","2013","22","0","22","0"
"Belgium","Bhutan","2013","2","0","2","0"
"Belgium","Bolivia (Plurinational State of)","2013","2","0","2","0"
"Belgium","Bosnia and Herzegovina","2013","41","0","41","0"
"Belgium","Bulgaria","2013","16","0","16","0"
"Belgium","Burkina Faso","2013","52","0","52","0"
"Belgium","Burundi","2013","309","0","309","0"
"Belgium","Cambodia","2013","5","0","5","0"
"Belgium","Cameroon","2013","354","0","354","0"
"Belgium","Canada","2013","1","0","1","0"
"Belgium","Central African Rep.","2013","10","0","10","0"
"Belgium","Chad","2013","39","0","39","0"
"Belgium","Chile","2013","20","0","20","0"
"Belgium","China","2013","958","0","958","0"
"Belgium","Colombia","2013","28","0","28","0"
"Belgium","Congo","2013","27","0","27","0"
"Belgium","Côte d'Ivoire","2013","190","0","190","0"
"Belgium","Croatia","2013","7","0","7","0"
"Belgium","Cuba","2013","2","0","2","0"
"Belgium","Czech Rep.","2013","2","0","2","0"
"Belgium","Dem. People's Rep. of Korea","2013","68","0","68","0"
"Belgium","Dem. Rep. of the Congo","2013","916","0","916","0"
"Belgium","Denmark","2013","1","0","1","0"
"Belgium","Djibouti","2013","113","0","113","0"
"Belgium","Dominican Rep.","2013","0","0","0","0"
"Belgium","Egypt","2013","19","0","19","0"
"Belgium","El Salvador","2013","13","0","13","0"
"Belgium","Equatorial Guinea","2013","5","0","5","0"
"Belgium","Eritrea","2013","105","0","105","0"
"Belgium","Estonia","2013","0","0","0","0"
"Belgium","Ethiopia","2013","82","0","82","0"
"Belgium","Finland","2013","1","0","1","0"
"Belgium","France","2013","1","0","1","0"
"Belgium","Gabon","2013","10","0","10","0"
"Belgium","Gambia","2013","19","0","19","0"
"Belgium","Georgia","2013","33","0","33","0"
"Belgium","Germany","2013","1","0","1","0"
"Belgium","Ghana","2013","18","0","18","0"
"Belgium","Guatemala","2013","7","0","7","0"
"Belgium","Guinea","2013","2290","0","2290","0"
"Belgium","Guinea-Bissau","2013","7","0","7","0"
"Belgium","Haiti","2013","2","0","2","0"
"Belgium","Honduras","2013","1","0","1","0"
"Belgium","Hungary","2013","21","0","21","0"
"Belgium","India","2013","9","0","9","0"
"Belgium","Iraq","2013","3058","0","3058","0"
"Belgium","Islamic Rep. of Iran","2013","486","0","486","0"
"Belgium","Israel","2013","7","0","7","0"
"Belgium","Italy","2013","1","0","1","0"
"Belgium","Jordan","2013","27","0","27","0"
"Belgium","Kazakhstan","2013","33","0","33","0"
"Belgium","Kenya","2013","29","0","29","0"
"Belgium","Kuwait","2013","4","0","4","0"
"Belgium","Kyrgyzstan","2013","56","0","56","0"
"Belgium","Lao People's Dem. Rep.","2013","7","0","7","0"
"Belgium","Latvia","2013","1","0","1","0"
"Belgium","Lebanon","2013","66","0","66","0"
"Belgium","Liberia","2013","17","0","17","0"
"Belgium","Libya","2013","4","0","4","0"
"Belgium","Lithuania","2013","3","0","3","0"
"Belgium","Madagascar","2013","3","0","3","0"
"Belgium","Malaysia","2013","1","0","1","0"
"Belgium","Mali","2013","17","0","17","0"
"Belgium","Mauritania","2013","155","0","155","0"
"Belgium","Mauritius","2013","1","0","1","0"
"Belgium","Mexico","2013","1","0","1","0"
"Belgium","Mongolia","2013","3","0","3","0"
"Belgium","Montenegro","2013","1","0","1","0"
"Belgium","Morocco","2013","27","0","27","0"
"Belgium","Myanmar","2013","18","0","18","0"
"Belgium","Namibia","2013","1","0","1","0"
"Belgium","Nepal","2013","12","0","12","0"
"Belgium","Netherlands","2013","5","0","5","0"
"Belgium","Niger","2013","45","0","45","0"
"Belgium","Nigeria","2013","23","0","23","0"
"Belgium","Pakistan","2013","77","0","77","0"
"Belgium","Peru","2013","4","0","4","0"
"Belgium","Poland","2013","65","0","65","0"
"Belgium","Rep. of Moldova","2013","3","0","3","0"
"Belgium","Romania","2013","25","0","25","0"
"Belgium","Russian Federation","2013","2177","0","2177","0"
"Belgium","Rwanda","2013","798","0","798","0"
"Belgium","Senegal","2013","293","0","293","0"
"Belgium","Serbia (and Kosovo: S/RES/1244 (1999))","2013","822","0","822","0"
"Belgium","Sierra Leone","2013","29","0","29","0"
"Belgium","Slovakia","2013","1","0","1","0"
"Belgium","Somalia","2013","559","0","559","0"
"Belgium","South Africa","2013","2","0","2","0"
"Belgium","Spain","2013","1","0","1","0"
"Belgium","Sri Lanka","2013","313","0","313","0"
"Belgium","State of Palestine","2013","125","0","125","0"
"Belgium","Stateless","2013","16","0","16","0"
"Belgium","Sudan","2013","129","0","129","0"
"Belgium","Sweden","2013","1","0","1","0"
"Belgium","Switzerland","2013","1","0","1","0"
"Belgium","Syrian Arab Rep.","2013","1987","0","1987","0"
"Belgium","Tajikistan","2013","5","0","5","0"
"Belgium","Thailand","2013","0","0","0","0"
"Belgium","The former Yugoslav Rep. of Macedonia","2013","0","0","0","0"
"Belgium","Tibetans","2013","0","0","0","0"
"Belgium","Togo","2013","143","0","143","0"
"Belgium","Tunisia","2013","5","0","5","0"
"Belgium","Turkey","2013","472","0","472","0"
"Belgium","Turkmenistan","2013","1","0","1","0"
"Belgium","Uganda","2013","18","0","18","0"
